userid,label
377966613,Pro-Science
37824742,Pro-Science
378788322,Anti-Science
378940988,Pro-Science
38024412,Anti-Science
380496132,Anti-Science
380602344,Pro-Science
382438462,Pro-Science
3827589015,Anti-Science
38436871,Pro-Science
3861481334,Anti-Science
387113746,Pro-Science
38861943,Anti-Science
38917236,Pro-Science
38955335,Anti-Science
39000846,Anti-Science
3900296952,Anti-Science
39098026,Anti-Science
391168494,Pro-Science
392399901,Anti-Science
392512441,Anti-Science
395972611,Pro-Science
39599205,Anti-Science
396898558,Anti-Science
398810761,Anti-Science
3989720421,Anti-Science
400413662,Pro-Science
400758978,Pro-Science
40557660,Anti-Science
407260238,Pro-Science
40777277,Pro-Science
40839395,Pro-Science
40956853,Anti-Science
41058961,Pro-Science
411853059,Pro-Science
413822016,Anti-Science
414343062,Pro-Science
4148939236,Anti-Science
41590148,Pro-Science
4168471815,Pro-Science
4190149336,Anti-Science
420453255,Pro-Science
4229027320,Pro-Science
423302899,Pro-Science
4253175591,Pro-Science
42649575,Anti-Science
4266775217,Anti-Science
427125082,Pro-Science
43061708,Pro-Science
43342785,Pro-Science
4336458982,Pro-Science
43411847,Pro-Science
436116661,Anti-Science
436953233,Anti-Science
4380150262,Anti-Science
4394440889,Anti-Science
440277023,Anti-Science
44192367,Pro-Science
44217753,Anti-Science
4446258499,Anti-Science
4456486873,Anti-Science
44603448,Anti-Science
446355385,Pro-Science
44660698,Pro-Science
44666121,Anti-Science
44710767,Anti-Science
